job_id,job_desc
1,"
Job description
Description

Do you have an interest in developing software for new warfighter capabilities. Are you passionate about using innovation and technology to solve technical challenges

If you are graduating with a Bachelor’s or Master’s degree in Computer Science, Computer Engineering, Mathematics or, Electrical Engineering and want to work as a software developer or software engineer, we’d love to have you join our close-knit prototyping team! We build capabilities that enable warfighters to harness a diverse set of sensors and data sources to accomplish a variety of missions that are important to the defense of our nation.

Our team is committed to working directly with warfighters to craft solutions from concept to operational use. We strive to foster an inclusive environment that is highly collaborative and supportive, but also encourages autonomy. Our team values are putting the warfighter and their missions first, accepting that you might not get it right the first time, but being resolved to see it through, and being dedicated to making real impact.

As a Software Development Engineer, you will...
• Research and develop concepts to solve unaddressed, critical military operational shortfalls as a member of an established team that has fielded numerous highly regarded capabilities. Subject areas differ widely over time, but our current projects focus on improving the exploitation of airborne and ground based sensor data through object tracking, multi-sensor correlation, data management, and operational data display as well as intelligent and resilient communications systems.
• Perform system design and software implementation of proof-of-concept prototypes incorporating several engineering fields: software development, signal/video processing, pattern recognition, real-time computing, applied mathematics, network/web services, and visualization.
• Support prototype evaluation, experimental operations at military facilities, and transitions of capabilities to government or industry.

Qualifications

You meet our minimum qualifications for the job if you...
• Have a BS or MS in Computer Science, Computer Engineering, Mathematics Electrical Engineering, or related field.
• Completed coursework or internships involving complex software development, particularly in the areas of object oriented programming, database design, signal processing, data visualization, and user interfaces.
• Can occasionally travel and work at government and military facilities, including underway on US Navy ships and aircraft requiring work outside of and in excess of normal working hours.
• Are able to obtain an Interim Secret level security clearance by your start date and ultimately obtain a final Secret level security clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship.

You'll go above and beyond our minimum requirements if you...
• Knowledge of C++, Java, or Typescript in a Linux/Unix environment.
• Desire to build computer science/software development expertise to address emerging challenges.
• Interest and initiative to grow into a leadership position.
"
2,"
Job description
Are you interested in working for one of the most exciting products at Microsoft to help advance Microsoft’s AI Platform? Are you excited about being part of a product group working with Microsoft researchers, data scientists and AI engineering teams to ensure success as they move forward with cloud computing in Azure? If so, then look no further than the AI Platform team. AI Platform is responsible for the Azure Machine Learning (Azure ML) and Cognitive Services products.

Azure ML is building the machine learning development platform that makes it easy for all data scientists and AI developers to create and deploy robust and highly scalable ML and AI solutions in the cloud using the best of the open-source ecosystem and innovation from inside the company along with the latest breakthroughs in research.

Artificial intelligence (AI) is dramatically transforming people’s work and life now, and Cognitive Services bring AI within reach of every developer—without requiring machine-learning expertise. All it takes is an API call to embed the ability to see, hear, speak, search, understand, and accelerate decision-making into your apps.

We are hiring experienced and talented software engineers who are passionate about building scalable, distributed, highly available, and secure cloud services for the Microsoft AI Platform. The team is building solutions targeted to data scientists and IT admins to enrich their target customers’ experience with the magic of AI.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more.  A great user experience is paramount to accomplishing this.  Join our team and help us build the best AI Platform user experience for the world!

Microsoft Offers
• World class benefits package including no cost health insurance premiums for you or your dependents
• 401k with company match, including the ability to contribute after-tax dollars
• Employee stock purchase program allowing for Microsoft stock to be purchased at a discount
• A work culture that promotes diversity and inclusion

Responsibilities

As a software engineer II on our team, you will participate in developing innovative solutions across AI Platform. Responsibilities include the following.
• Write concise and clean code with unit tests
• Design and build scalable, high-performance services that are highly reliable
• Ability to work across teams in a large organization
• Design and implement new features as well as add functionality to existing systems
• Investigate pre-production and production issues, implement and deploy fixes
• Participate in an on-call rotation (typically 24/7 for one week every 6-8 weeks)
• Be enthusiastic, self-motivated, and a great collaborator
• Be passionate about making customers successful

Qualifications

Required/Minimum Qualifications
• Bachelor's Degree in Computer Science or related technical field AND 2+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
• OR equivalent experience.

Other Requirements
• Security Clearance Requirements: Candidates must be able to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
• The successful candidate must have an active U.S. Government Top Secret Clearance with access to Sensitive Compartmented Information (SCI) based on a Single Scope Background Investigation (SSBI) with Polygraph. Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. Failure to maintain or obtain the appropriate U.S. Government clearance and/or customer screening requirements may result in employment action up to and including termination.
• Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
• Citizenship & Citizenship Verification: This role will require access to information that is controlled for export under U.S. export control regulations, potentially under the International Traffic in Arms Regulations or the Export Administration Regulations.  As a condition of employment, the successful candidate will be required to provide proof of citizenship, U.S. permanent residency or other protected status under 8 U.S.C.
• 1324b(a)(3) for assessment of eligibility to access the export-controlled information. To meet this legal requirement, citizenship will be verified via a valid passport.
• Citizenship & Citizenship Verification: This position requires verification of U.S. citizenship due to citizenship-based legal restrictions. Specifically, this position supports United States federal, state, and/or local United States government agency customers and is subject to certain citizenship-based restrictions where required or permitted by applicable law. To meet this legal requirement, citizenship will be verified via a valid passport.

Preferred/Additonal Qualifications
• Bachelor's Degree in Computer Science or related technical field AND 4+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
• OR Master's Degree in Computer Science or related technical field AND 2+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
• OR equivalent experience.
• Experience developing features and experiences for large-scale, customer-facing applications.
"
3,"
Job description
Web Developer (Programmer)
• As required by our governmental client, this position requires an active USAccess clearance

The Web Developer (Programmer) plays a crucial role in supporting the CNSS/Client teams mission to provide IT technical services in direct support of the scientific data collection program. This position is located at the South Atlantic Water Science Center (SAWSC) and presents an exciting opportunity to join a top-notch team of IT professionals and technicians.

Compensation & Benefits:

Pay commensurate with experience.

Full time benefits include Medical, Dental, Vision, 401K and other possible benefits as provided. Benefits are subject to change with or without notice.

Web Developer (Programmer) Responsibilities Include:
• Supporting future web development and programming needs identified by the CNSS in collaboration with client staff.
• Designing, developing, and maintaining Data Management systems capable of accommodating scientific and business requirements and processes.
• Developing web services to display datasets and creating algorithms to merge and interpolate different types of data.
• Managing existing web services by reviewing and revising outdated datasets.
• Participating in IT-related meetings and trainings.
• Providing training to staff on completion of assigned projects/tasks.
• Offering written documentation on completed projects/tasks.
• Developing project management and administrative applications to assist client staff with routine workflows.
• Creating datasets, constructing plots, graphs, and other figures for display in a web environment.
• Performing monthly quality control/quality assurance methods.
• Performs other job-related duties as assigned

Web Developer (Programmer) Experience, Education, Skills, Abilities requested:
• strong set of computer science abilities, including computer programming, Amazon Web Services (AWS) programming, web development skills, and database management skills. Computer Science degree
• Strong JavaScript skills for web development.
• USAccess clearance
• Experience with Amazon Web Services (AWS), including Lambda, API Gateways, DynamoDB, S3, and Serverless.
• Proficiency in Microsoft 365, including PowerApps, PowerAutomate, Lists, and SharePoint.
• Familiarity with React/Redux, Node, creating and consuming REST API, Git, and CSS.
• Ability to take initiatives to improve applications and work independently.
• Capability to learn and use new technologies as needed.
• Knowledge of Data Management concepts, methods, and principles, with the ability to apply technical documentation procedures and communication methods.
• Demonstrated proficiency in programming skills in Python, SQL, PHP, R, IDL, and PowerShell.
• Experience in working with federal web accessibility guidelines.
• Must pass pre-employment qualifications of Cherokee Federal

Company Information:

Cherokee Nation System Solutions (CNSS) provides support, services, and solutions to federal and commercial customers. The company takes a personalized approach to solving our clients toughest challenges, helping you make the most of your skills. CNSS is part of Cherokee Federal - a team of tribally owned federal contracting companies.

Cherokee Federal is a military friendly employer. Veterans and active military transitioning to civilian status are encouraged to apply.

List Similar searchable job titles: Web Developer, Software Developer, Full Stack Developer, AWS Developer, Database Administrator.

List Keywords: Web Development, Amazon Web Services, Data Management, JavaScript, React, Node, REST API, Git, CSS, Python, SQL, PowerShell, Federal Web Accessibility Guidelines.
"
4,"
Job highlights

Qualifications
• Ability to write clean, well-documented code
• Excellent complex problem solving and critical thinking skills
• Working knowledge of SQL and Microsoft SQL Server
• Solid troubleshooting and communication skills
• Experience using Microsoft Office tools
• Demonstrated analytical and critical thinking abilities
• Bachelor’s degree in computer science, engineering, or a related field
• 5 years of experience in software development
• Proven experience with (Python, Django, JavaScript, HTML/CSS, AJAX, Postgres, MySQL)
• Familiarity with Jenkins, GIT, and WordPress
• Direct experience with Agile software development methodologies
• US Citizen
Responsibilities
• Develop and deploy computer applications
• Execute code builds to test and production environments
• Fix bugs in existing code
• Collaborate with product, design, and marketing teams
• Maintain documentation per company standards
• Provide testing, documentation, training, and support for third-party software products
• Resolve user-submitted problems and questions
Benefits
• Full-time exempt
• Benefits: Company benefits includes but are not limited to health, dental, vision, PTO, HSA, FSA and 401k and more
Job description
Computer Programmer
• Code and test programming for software and mobile apps.
• Develop and deploy computer applications
• Execute code builds to test and production environments.
• Fix bugs in existing code.
• Collaborate with product, design, and marketing teams.
• Maintain documentation per company standards.
• Provide testing, documentation, training, and support for third-party software products.
• Resolve user-submitted problems and questions.

Computer Programmer Qualifications/Skills:
• Understanding of object-oriented software engineering
• Track record of successful application development
• Ability to write clean, well-documented code
• Excellent complex problem solving and critical thinking skills
• Working knowledge of SQL and Microsoft SQL Server
• Solid troubleshooting and communication skills
• Experience using Microsoft Office tools
• Demonstrated analytical and critical thinking abilities

Education and Experience Requirements:
• Bachelor’s degree in computer science, engineering, or a related field
• 5 years of experience in software development
• Proven experience with (Python, Django, JavaScript, HTML/CSS, AJAX, Postgres, MySQL)
• Familiarity with Jenkins, GIT, and WordPress
• Direct experience with Agile software development methodologies
"
5,"
About the role:

Healthcare Legal Solutions, LLC, is a healthcare collections firm that provides denial management, consulting, and corporate collections services to hospitals and health systems. We are a small, fast-growing firm with lots of opportunities for new employees to prove themselves and a great team culture

Duties:
 Candidates will have to manage their workload, perform under pressure, and work well with the rest of the team.
 Plan, design, modify, develop, and implement software programming applications consistent with the development process and contemporary software techniques for specific internal and client applications
 Interfaces with users to define system requirements and/or necessary modifications; provides maintenance information
 Develop software requirements and specifications, including backup and maintenance plans
 Produces timely status reports and projections, including tracking objectives and schedules
 Provides timely production support, problem resolution, debugging, and unit testing of software products
 Schedule and organize development, testing, deployment, and documentation plans
 Convert project specifications and procedures to detailed logical flow charts
 Align the IT vision with HLS’ overall business strategy

Tools Used:
 Operating Systems: Windows, Linux
 Programming languages: Java (90% usage), C# (One Image capture & Processing program), Python (few Programs)
 Database: Microsoft SQL Server
 IDE’s: NetBeans, Eclipse
 Web Tech: HTML, CSS, and Basics of WordPress
 Version Control tools: Knowledge of SVN or GIT basics.
 Others: Log4j (Java logging utility), SSH connections with Putty (Secure connections to Cloud Servers), Selenium (Automation scripts)
 Our ideal candidate:
 Bachelor’s degree (B.S.) in related field or equivalent, two to four years related experience, or an equivalent combination of education and experience
 Experience with Java 8 and SQL (scripts and queries)
 GPA of 3.0 or higher
 Highly attentive to detail
 Excellent organizational, communication, and time management skills
 Project management ability
 Creative problem-solver and analyst
 Good knowledge of Data Structures and Algorithms in Java
 Good knowledge of Selenium scripts (Have experience with automating simple tasks using web servers like chrome, Firefox, or opera) – Used for automation
 Basic knowledge of Image Processing (OCR – Optical Character Recognition understanding)

Good To Have Skills:
 Experience working with C# and Python (fundamental understanding)
 Good knowledge of cloud servers
 Worked with ANT scripts
 Worked with web technologies

Compensation and Benefits:
 Compensation commensurate with experience.

"
6,"
Job description
.NET Programmer

Job Category: Information Technology

Time Type: Full time

Minimum Clearance Required to Start: Secret

Employee Type: Regular

Percentage of Travel Required: Up to 10%

Type of Travel: Local

CACI is seeking a .NET Programmer! Our customer is the on-stop maintenance and logistics provider to all of the US Coast Guard’s fleet of Cutters and Boats. Help them meet their daily mission of keeping Cutters and Boats operational for search and rescue, commercial waterways preservation, and border defense. You will work with a team of Government and other contractor personnel, to develop and deploy solutions that migrate existing team collaboration capabilities from older, end of life technology to the Coast Guard’s new preferred IT architecture that uses Microsoft Teams, SharePoint, and DoD Office 365.

What You’ll Get to Do:

Working with team members and the Government Team Leader, you will:
• Produce code using .NET languages (Java, .NET 3.5, ASP.NET, C#, and C/C++).
• Support the .NET application hosted within the SFLC Web Application Portal (SWAP). Support includes development, maintenance, enhancement and reporting support, testing, documentation, training, web-server maintenance, data integration support, and studies, analyses and documentation of SWAP applications.
• Meet with customers to discuss and record information regarding requests, enhancements, system problems, etc., gather requirements and information in order to perform proper development, maintenance and enhancements, or in performing testing and/or system analysis.
• Develop, maintain and enhance applications based on the standards and guidelines set-up by SFLC BOD and CG policy, develop workflows for logistics business systems applications, test applications under development, and create Test Scripts for users to follow; and include them in standard installation and update packages.
• Develop standard package information when submitting a package for testing and production. An example of a typical deployment package may consist of, but not limited to: ERD, Data Dictionary, Procedural Information, Technical Documentation, Scripts, Database Source Code, Installation Code, any Application Reports, any Third Party Controls, Test Scripts, and Installation Instructions.
• Assist users and POC(s) when developing and maintaining applications, and in overseeing testing of applications. Also gather testing results, review, and discuss results with Application POC(s), and make necessary fixes as requested/required.
• Review, respond to, and complete assigned BOD Work Requests. Requests are submitted through SFLC Central. Document progress within the BOD request nots and in moving requests through workflow stages to completion.

You’ll Bring These Qualifications:
• Most possess an active Secret Clearance.
• Possesses and applies expertise on multiple complex work assignments which may be broad in nature, requiring originality and innovation in determining how to complete tasks.
• Clear ability to operate with appreciable latitude in development methodology and presenting solutions to problems contributing to deliverables and performance metrics where applicable.
• Have minimum of five (5) years of experience in web, database and application design, development, and implementation of moderate to complex systems.
• Experience getting end users who have varied levels of knowledge to express needs and requirements.
• Clearly demonstrate your ability to convey complex software development data to a wide variety of audiences (colleagues, experts, novices, and new to the concepts) at all levels (leadership, management, and worker).
• Excellent oral and written communication skills.

These Qualifications Would be Nice to Have:
• Demonstrated knowledge of SharePoint.

What We Can Offer You:
• We’ve been named a Best Place to Work by the Washington Post.
• Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
• We offer competitive benefits and learning and development opportunities.
• We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.
• For over 60 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.
"
7,"
Job description
Gromelski and Associates, Inc. (GAI) partners with prime contractors to provide professional services. Key service areas include Engineering Design and Documentation; Software Development and Testing; System Integration, Testing and Evaluation; Lab Management and Field Installation; Integrated Logistics Support, Training Development and Delivery, Multimedia Support, and Technical System Support.

Multimedia Developer/Programmer Job Overview:

Looking for qualified Multimedia Developers to join a dynamic, fast paced team creating interactive applications. Candidates will be expected to maintain and improve existing software as well as pioneer future projects.

Multimedia Developer/Programmer Job Description:

The Multimedia Developer will collaborate with 3D modelers, multimedia developers, programmers, and subject matter experts to provide highly interactive experiences. Successful candidates will have experience writing and using scripts in Unity. Candidates should be familiar with current web technologies, tools, and practices for delivering browser-based 3D content. Applicants should have a solid programming background, be familiar with OOP, and be comfortable manipulating existing architectures.

Multimedia Developer/Programmer Required Skills:
• Experience with Unity development
• Solid understanding of Unity UI/GUI system
• Experience with 3ds Max to Unity pipeline
• Comfortable using and working within the constraints of legacy Unity editors (~version 5.6.7)
• Solid OOP experience using Actionscript, Python, Javascript, and/or C#
• Comfortable editing and designing software architectures using common design patterns/code practices
• Web development experience with HTML5, CSS3, JSON, XML
• Firm understanding of web standards and cross browser considerations
• Adobe Creative Suite familiarity (mostly Photoshop and Animate)
• Working familiarity with MS Windows operating systems

Multimedia Developer/Programmer Highly Desirable Skills:
• Familiarity with browser-based, interactive 3D development
• Experience creating interactive content using HTML canvas element
• Understanding of Adobe Flash/Animate
• Experience with SVG content
• Experience developing custom Adobe components using Extendscript/JSX
• Experience with version control systems (GIT, SVN, etc)

Multimedia Developer/Programmer Additional Requirements:
• Bachelor’s degree in related discipline or equivalent experience
• Portfolio or work samples to provide.
• Ability to work efficiently and precisely in a fast-paced and highly talented group.
• Willingness to work overtime and off shift when dictated to support business needs.
• Task driven with ability to work independently.
• Team player that takes ownership and develops relationships with the team members which fosters team success.
• Must be able to obtain and keep a DoD Secret Clearance which means you must be a U.S. Citizen .
"
8,"
Role Description

The UCLA Department of Social Welfare is seeking an experienced Information Technology Programmer for a hybrid role. The Information Technology Programmer will be responsible for analyzing, designing, developing, testing, and maintaining software applications and information systems. This is a contract/temp role (as needed) located in the Los Angeles Metropolitan Area with flexibility for remote work.

Qualifications
• Bachelor's degree in Computer Science or a related field or equivalent combination of education and experience
• Minimum of 3-5 years of experience in software application development and maintenance
• Strong proficiency in programming languages such as Java, Python, and C++
• Experience with database management systems such as Oracle and MySQL
• Experience with web development technologies such as HTML, CSS, JavaScript, and AngularJS
• Experience with software development frameworks such as Spring and Hibernate
• Experience with version control software such as Git or SVN
• Excellent problem-solving, analytical, and communication skills
• Ability to work in a team-oriented, collaborative environment
• Strong attention to detail and thoroughness in completing tasks
• Knowledge of best practices in secure coding practices, performance tuning, and scalability a plus
• Experience with mobile application development a plus
"
9,"
Data Scientist - Global Data Science

Job Overview

Visa is a world leader in digital payments, connecting consumers, merchants, financial institutions, and government entities across more than 200 countries and territories each year. As a Data Scientist in the Global Data Science group, you will work with Visa's rich data set to build creative solutions that have an immediate impact on our key bank or merchant partners. This is a hybrid position, allowing for both remote and office work.

Compensation
• Estimated Salary Range: $109,400.00 to $139,500.00 USD
• Additional sales incentive payments, bonus, and equity may apply
• Comprehensive benefits package including Medical, Dental, Vision, 401(k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program

Responsibilities
• Collaborate with members from Data Science and various groups at Visa
• Use Visa's data to tackle meaningful business problems in one of the Data Science focus areas (e.g., banks, merchants & retailers, digital products, marketing)
• Rotate within Data Science to gain broad exposure to Visa's business

Requirements
• Basic Qualification:
• 2 or more years of work experience with a Bachelor's Degree or an Advanced Degree (e.g. Masters, MBA, JD, MD, or PhD)
• Preferred Qualification:
• 3 or more years of work experience with a Bachelor's Degree or more than 2 years of work experience with an Advanced Degree (e.g. Masters, MBA, JD, MD)
• 2+ years' experience in data-based decision-making or quantitative analysis
• Bachelor's degree in an analytical field such as statistics, operations research, economics, computer science, or many others (graduate degree is a plus)
• Experience with extracting and aggregating data from large data sets using SQL or other tools
• Competence in Excel, PowerPoint, and Tableau
• Experience in understanding and analyzing data using statistical software (e.g., Python, SAS, R, Stata, or others)
• Previous exposure to financial services, credit cards, or merchant analytics is a plus, but not required
"
10,"
Job description
Company Overview

We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms, ground, soldier, and maritime systems in 50+ locations world-wide. Much of our work contributes to innovative research in the fields of sensor science, signal processing, data fusion, artificial intelligence (AI), machine learning (ML), and augmented reality (AR).

QinetiQ US’s dedicated experts in defense, aerospace, security, and related fields all work together to explore new ways of protecting the American Warfighter, Security Forces, and Allies. Being a part of QinetiQ US means being central to the safety and security of the world around us. Partnering with our customers, we help save lives; reduce risks to society; and maintain the global infrastructure on which we all depend.

Why Join QinetiQ US?

If you have the courage to take on a wide variety of complex challenges, then you will experience a unique working environment where innovative teams blend different perspectives, disciplines, and technologies to discover new ways of solving complex problems. In our diverse and inclusive environment, you can be authentic, feel valued, be respected, and realize your full potential. QinetiQ US will support you with workplace flexibility, a commitment to the health and well-being of you and your family and provide opportunities to work with a purpose. We are committed to supporting your success in both your professional and personal lives.

Position Overview

QinetiQ US seeks a highly skilled Data Analyst responsible for collecting, analyzing, and interpreting data to drive informed business decisions and improve operational efficiency. Your expertise in utilizing Microsoft Power Suite, Python programming, data visualization, and SQL will be crucial in extracting insights from complex datasets and providing valuable recommendations to stakeholders.

Responsibilities

Data Analysis and Interpretation:
• Collect, organize, and analyze large datasets using various tools and techniques, ensuring data integrity and accuracy.
• Apply statistical methods to identify trends, patterns, and correlations in the data, translating findings into actionable insights.
• Interpret data and present findings to stakeholders in a clear and concise manner.

Data Visualization:
• Design and create visually appealing and interactive dashboards, reports, and visualizations using tools such as Microsoft Power BI, Tableau, or similar platforms.
• Develop intuitive and user-friendly data visualizations to effectively communicate complex information to non-technical stakeholders.
• Continuously enhance data visualizations to improve data storytelling and maximize impact.

Data Management:
• Develop and maintain data pipelines and workflows to ensure efficient data collection, storage, and retrieval.
• Perform extract, transform, and load (ETL) on data sets as required to ensure that the visualization platform is receiving well-behaved and properly formatted data.
• Ensure data quality and consistency by implementing data cleaning, transformation, and validation processes.
• Collaborate with cross-functional teams to establish data governance frameworks and adhere to data management best practices.
• Inform other data science team members and stakeholders about changes to databases and other data sources that impact the maintenance or ongoing development of a stakeholder dashboard.

Business Insights and Reporting:
• Collaborate with business stakeholders to understand their requirements and deliver actionable insights based on data analysis.
• Generate regular reports and presentations to communicate findings, trends, and performance metrics to management.
• Provide recommendations for process improvements, cost optimization, and strategic decision-making based on data-driven insights.

Programming and Database Skills:
• Utilize Python programming for data manipulation, extraction, and transformation tasks.
• Query databases using SQL to retrieve and analyze data efficiently.
• Collaborate with data engineering teams to optimize data pipelines and enhance database performance.

Required Qualifications
• Bachelor's degree in a relevant field, such as Data Science, Statistics, Business Analytics, or a related discipline. A master's degree is preferred.
• Proven experience (three to eight years) as a Data Analyst, Management Analyst, or similar role.
• Strong judgement and ability to navigate stakeholder priorities and interests and solve client challenges and problems.
• Entrepreneurial spirit with the ability to learn new issues and plans, design and implement internal and external initiatives that advance client leaderships’ priorities.
• Proficiency in Microsoft Power Suite, including Power BI, Excel, and PowerPoint.
• Strong programming skills in Python for data manipulation and analysis tasks.
• Experience with SQL for querying databases and retrieving data.
• Familiarity with data visualization tools such as Tableau, Microsoft Power BI, or similar platforms.
• Strong analytical and problem-solving abilities, with a keen attention to detail.
• Excellent communication and presentation skills, with the ability to convey complex information to non-technical stakeholders.
• Ability to work collaboratively in cross-functional teams and manage multiple priorities.
• Knowledge of statistical analysis techniques and data modeling concepts is a plus.
• Creativity, teamwork, and time management skills.
• Comfortable with shifting priorities and the ability to navigate complex stakeholder requests.
• Excellent interpersonal, communication, and organizational skills.
• Data Analytics / Visualization Tools skills are desired.
• Agile/Scrum Master experience desired.
• Strong business writer and communicator.
• Analytical mindset and intellectual curiosity.
• Ability to manage multiple priorities and quick turn deliverables.
• Ability to thrive in a dynamic, team-based work environment.
• Ability to interact professionally and confidently with client leadership and executives.
• Ability to quickly learn and master complex concepts and terminology.
• Attention to detail.
• Ability to maintain discretion and confidentiality of sensitive information.
• Ability to maintain a security clearance from the U.S. government.

Preferred Qualifications
• Experience setting and managing client relationships and expectations.
• Experience effectively communicating with team, client, and company stakeholders.
• Ability to set priorities, plan, and organize tasks and deliverables as needs evolve.
• Previous experience working for a federal government client.
"
