"Canonical URL","RSD Name","Author","Skill Statement","Category","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/0e955d0a-6fb4-4282-bf1b-53542d3e0266","Report Recommendations Verification","Western Governors University","Verify that the conclusions and recommendations in a report are backed by verifiable data and robust analysis.","Evidence-Based Practice","Curriculum & Instruction; Evidence-Based Practice; WGUSID: 6894","","","17-0000; 19-0000; 33-0000","17-2000; 17-3000; 19-4000; 33-3000","17-2080; 17-2110; 17-3020; 19-4090; 33-3020","","","","Evidence-Based Practice","https://skills.emsidata.com/skills/KS123987840L8J17862K",""
"https://osmt.wgu.edu/api/skills/6ab33c53-a745-47d7-a969-8f470bbe32fc","Prioritize Tasks by Importance","Western Governors University","Prioritize tasks appropriately by importance and urgency.","Time Management","Time Management; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self Management; WGUSID: 5625","","","17-0000; 19-0000; 33-0000","17-2000; 17-3000; 19-4000; 33-3000","17-2080; 17-2110; 17-2190; 17-3020; 19-4090; 33-3020; 33-3050","","","","Time Management","https://skills.emsidata.com/skills/KS44175745H9Q0DPBDNT",""
"https://osmt.wgu.edu/api/skills/ee7b64bf-477c-49d1-a64a-b499c8995cda","Adapt Personal Actions and Ideas","Western Governors University","Adapt personal actions and ideas with those of others to facilitate progress.","Collaboration","Collaboration; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 56","","","17-0000","17-2000","17-2110; 17-2190","","","","Collaboration","https://skills.emsidata.com/skills/KS7AASDV6UOE7VFBGF4D",""
"https://osmt.wgu.edu/api/skills/5c5fdcc7-e305-426b-8672-b9de502e5422","Conceptual Model Development","Western Governors University","Develop a conceptual model to capture the essence of a project or system by modeling only key elements or aspects.","Conceptual Model","Conceptual Model; WGUSID: 2325","","","17-0000","17-2000","17-2080; 17-2110","","","","Conceptual Model","https://skills.emsidata.com/skills/KSAENTQU3CT8Y9AISS3O",""
"https://osmt.wgu.edu/api/skills/ed2161fd-7b20-47c6-a603-a06ea72732c9","Cost Classification Application","Western Governors University","Apply basic cost classifications and applications in a structured context to reflect use of organizational resources.","Cost Accounting","Accounting; Application; Cost Accounting; WGUSID: 401","NICE_OV_MGT; NICE_AN_LNG","CPA; CMA","11-0000; 13-0000; 15-0000; 17-0000; 19-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 15-1200; 15-2000; 17-2000; 17-3000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210; 15-1230; 15-1240; 15-1250; 15-1290; 15-2030; 15-2090; 17-2080; 17-2110; 17-2190; 17-3020","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041; 15-1259; 15-2031","","","Cost Accounting","https://skills.emsidata.com/skills/ESB6859F09DF2E149CC9",""
"https://osmt.wgu.edu/api/skills/3916ed71-4549-4ef9-9198-740cd65cbe09","Collaborate for Consensus","Western Governors University","Collaborate with others to gain consensus on the best course of action.","Decision Making","Decision Making; WGUSID: 968","","","17-0000; 19-0000; 33-0000","17-2000; 17-3000; 19-4000; 33-1000; 33-3000","17-2080; 17-2110; 17-2190; 17-3020; 19-4090; 33-1010; 33-3020; 33-3050","17-2081; 17-2111; 17-2112; 17-2199; 17-3021; 17-3022; 17-3023; 17-3024; 17-3025; 17-3026; 17-3027; 17-3028; 17-3029","","","Decision Making","https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS",""
"https://osmt.wgu.edu/api/skills/160734d3-fd6f-4773-9448-18607cd3109e","Solution Development","Western Governors University","Develop potential solutions to problems by applying critical thinking techniques.","Decision Making","Critical Thinking; Problem Solving; Decision Making; Application; WGUSID: 2564","","","17-0000; 19-0000; 33-0000","17-2000; 17-3000; 19-4000; 33-1000; 33-3000","17-2080; 17-2110; 17-2190; 17-3020; 19-4090; 33-1010; 33-3020; 33-3050","","","","Decision Making","https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS",""
"https://osmt.wgu.edu/api/skills/cfc82290-7de7-451c-99e0-d37cff26df6f","Process Design Participation","Western Governors University","Participate in process design and redesign projects to increase process efficiency and effectiveness.","Process Design","Process Design; WGUSID: 5333","ISTE_Educators_7c; InTASC_3a; InTASC_3i; InTASC_4g; InTASC_8n; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; InTASC_3q; InTASC_6o; InTASC_6s; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_EdLeaders_5b; CNL_Competencies_3.3; CAHIMS_HISM_A3; ACHE_5A1; CNL_Competencies_3.10; AHIMA_AHIC_T302; CPHQ_Performance_and_Process_Improvement_A3; CAHIMS_HISM_D3; AHIMA_AHIC_K044; ANCC_Informatics_Certification_II.B.3; AONL_Competency_2B5","","11-0000; 13-0000; 15-0000; 17-0000; 19-0000; 21-0000; 25-0000; 29-0000","11-3000; 13-1000; 13-2000; 15-1200; 15-2000; 17-2000; 17-3000; 21-1000; 25-1000; 29-1000","11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1230; 15-1250; 15-2030; 17-2080; 17-2110; 17-2190; 17-3020; 21-1090; 25-1010; 25-1020; 25-1040; 25-1050; 25-1060; 25-1070; 25-1080; 25-1120; 29-1140","11-3031; 13-1111; 13-1161; 13-2011; 13-2041; 15-1232; 15-1251; 15-1256; 15-1257; 15-2031; 21-1094; 29-1141","","","Process Design","https://skills.emsidata.com/skills/KS1281Z6YSCYDNCG1D8T",""
"https://osmt.wgu.edu/api/skills/d84f1570-0284-40c8-9b00-1e0be68def79","Status Reports Provision","Western Governors University","Provide detailed status reports for a project in an open and transparent manner.","Project Management","Management; Microsoft Excel; Microsoft Word; Google Docs; Google Sheets; Project Management; Trello; Monday.com; GanttPro; Celoxis; Jira; SCRUM; PMP; WGUSID: 5753","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-2190; 17-3020","","","","Project Management","https://skills.emsidata.com/skills/KS1267F6MSPN366LX7ST",""
"https://osmt.wgu.edu/api/skills/3b1b410f-1576-4c1c-ba03-cb708caf3b3c","Develop Compliance Processes","Western Governors University","Develop processes for compliance with quality standards, regulations, and requirements.","Quality Management","Quality Management; Electronic quality management system (eQMS); WGUSID: 2575","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-2190; 17-3020","17-2081; 17-2111; 17-2112; 17-2199; 17-3021; 17-3022; 17-3023; 17-3024; 17-3025; 17-3026; 17-3027; 17-3028; 17-3029","","","Quality Management","https://skills.emsidata.com/skills/KS1289C6QS0TSSB4PNGG",""
"https://osmt.wgu.edu/api/skills/be0e2adc-cf10-4f5f-8bef-e0f984513ac7","Applicable Quality Standards Identification","Western Governors University","Identify applicable quality standards, regulations, and requirements.","Quality Management","Quality Management; WGUSID: 3658","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-2190; 17-3020; 17-3090","17-2081; 17-2111; 17-2112; 17-2199; 17-3021; 17-3022; 17-3023; 17-3024; 17-3025; 17-3026; 17-3027; 17-3029; 17-3098","","","Quality Management","https://skills.emsidata.com/skills/KS1289C6QS0TSSB4PNGG",""
"https://osmt.wgu.edu/api/skills/b6356396-d8ac-4e3b-9f6c-11f0de17c89d","Failed System Analysis","Western Governors University","Analyze a failed system or product to determine an appropriate solution.","Troubleshooting (Problem Solving)","Troubleshooting (Problem Solving); Instructional Design; WGUSID: 165","","CompTIA_ITF+","15-0000; 17-0000","15-1200; 17-2000; 17-3000","15-1210; 17-2080; 17-2110; 17-2190; 17-3020","","","","Troubleshooting (Problem Solving)","https://skills.emsidata.com/skills/KS441K2756CXYXBG990G",""
"https://osmt.wgu.edu/api/skills/bd9d2a59-efdc-40d0-931e-0629a45541b4","Personal Decision Ownership","Western Governors University","Take ownership of personal decisions regardless of the outcome.","Accountability","MS Office; Accountability; WGUSID: 6436","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-2190; 17-3020","","","","Accountability","https://skills.emsidata.com/skills/ES7A07CF87C516875B23",""
"https://osmt.wgu.edu/api/skills/8a7a5a7e-cbf9-4865-ae06-faa757f6c1b5","Air Quality Action","Western Governors University","Determine the best course of action if the reported air quality index (AQI) is dangerous to public health.","Air Quality","Air Quality; WGUSID: 2272","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Air Quality","https://skills.emsidata.com/skills/KS120CC6CSHSXNVW82TX",""
"https://osmt.wgu.edu/api/skills/640bf313-700d-409e-a28c-6c1c3e9e73d9","Air Quality Compliance","Western Governors University","Conduct air quality monitoring for compliance with the National Ambient Air Quality Standards (NAAQS).","Air Quality","Air Quality; WGUSID: 1184","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Air Quality","https://skills.emsidata.com/skills/KS120CC6CSHSXNVW82TX",""
"https://osmt.wgu.edu/api/skills/0ddb9f35-6c2c-496c-ba4b-36a1042f9790","Pollutant Concentration Estimation","Western Governors University","Estimate pollutant concentrations at receptor locations downwind of the source.","Air Quality","Air Quality; WGUSID: 1183","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Air Quality","https://skills.emsidata.com/skills/KS120CC6CSHSXNVW82TX",""
"https://osmt.wgu.edu/api/skills/d54d8903-6ebe-4327-a994-eee1359d8bef","Monitor Air Quality","Western Governors University","Monitor air quality.","Air Quality","Air Quality; WGUSID: 1183","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Air Quality","https://skills.emsidata.com/skills/KS120CC6CSHSXNVW82TX",""
"https://osmt.wgu.edu/api/skills/6daa245d-be62-4fd4-8446-95129f252a0a","Change Management Process Implementation","Western Governors University","Implement a change management process for the integration of proposed changes with current processes.","Change Management","Microsoft Excel; Change Management; Microsoft Word; Google Docs; Google Sheets; CCMP; Kubler-Ross Cycle of Grief; The Seven Habits of Highly Effective People; Who Moved my Cheese; WGUSID: 4018","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-2190; 17-3020","","","","Change Management","https://skills.emsidata.com/skills/KS121T569X502KJPS0F3",""
"https://osmt.wgu.edu/api/skills/28777ec5-915d-4195-8dce-56a4bf210ba1","Chemical Exposure Prevention","Western Governors University","Prevent occupational exposure to a chemical above its permissible exposure limit (PEL).","Chemical Hazards","chemical hazards; WGUSID: 5610","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Chemical Hazards","https://skills.emsidata.com/skills/KS121V375656ZP2HN5V9",""
"https://osmt.wgu.edu/api/skills/221f206d-2b32-4b36-be65-f597e1768ef7","Risk-Based Screening Analysis","Western Governors University","Analyze a risk-based screening approach for potential chronic and carcinogenic effects of chemicals in outdoor air.","Chemical Hazards","chemical hazards; WGUSID: 6596","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Chemical Hazards","https://skills.emsidata.com/skills/KS121V375656ZP2HN5V9",""
"https://osmt.wgu.edu/api/skills/7849709d-df01-4a07-b2bd-8f7ffcedfdd3","Ventilation Provision","Western Governors University","Provide adequate ventilation in enclosed areas.","Chemical Hazards","chemical hazards; WGUSID: 5724","","","17-0000","17-2000; 17-3000","17-2080; 17-2110; 17-3020","","","","Chemical Hazards","https://skills.emsidata.com/skills/KS121V375656ZP2HN5V9",""
"https://osmt.wgu.edu/api/skills/b833387b-5feb-4a6f-b6bd-ff5c8dce6b8a","System Design Conceptual Model Development","Western Governors University","Develop a conceptual model to facilitate efficient communication of system design details among stakeholders.","Conceptual Model","Conceptual Model; WGUSID: 2326","","","17-0000","17-2000","17-2080; 17-2110","","","","Conceptual Model","https://skills.emsidata.com/skills/KSAENTQU3CT8Y9AISS3O",""
