"Canonical URL","RSD Name","Author","Skill Statement","Category","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/e50fb44e-9a8b-4049-8681-14b4b5f07be3","Contextual Analysis","Western Governors University","Analyze a wide range of business contexts for ethical issues.","Business Ethics","Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172","ISTE_EdLeaders_5a; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n","","11-0000; 13-0000; 15-0000; 25-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 15-1200; 15-2000; 25-1000; 25-2000; 25-4000; 25-9000; 37-1000; 39-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 15-1210; 15-1240; 15-1250; 15-2030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9010; 25-9030; 25-9090; 37-1010; 39-1010; 39-1020","11-1011; 11-1021; 11-2022; 11-3012; 11-3051; 11-3071; 11-9021; 11-9151; 11-9199; 13-1051; 13-1071; 13-1111; 15-1212; 15-1244; 15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-2031; 25-1021; 25-1022; 25-1041; 25-1042; 25-1043; 25-1051; 25-1052; 25-1053; 25-1054; 25-1081; 25-1082; 25-2021; 25-2022; 25-2023; 25-2031; 25-2032; 25-2051; 25-2055; 25-2056; 25-2057; 25-2058; 25-2059; 25-4022; 25-9011; 25-9031; 25-9099; 37-1011; 39-1011; 39-1022","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/2c83604e-d247-428d-89b6-88d1ae3008ae","Business Ethics Strategies Analysis","Western Governors University","Analyze business contexts for strategies to navigate ethical issues.","Business Ethics","Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172.1","ISTE_EdLeaders_5a; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c","","11-0000; 13-0000; 15-0000; 25-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 15-1200; 15-2000; 25-1000; 25-2000; 25-4000; 25-9000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 15-1210; 15-1240; 15-1250; 15-2030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090","11-1011; 11-1021; 11-2022; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 15-1244; 15-1251; 15-1256; 15-1257; 15-2031; 25-4022; 25-9031","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/ab1014bb-3d48-4255-b950-271f460df5cd","Business Context Ethics Analysis","Western Governors University","Analyze a wide range of business contexts for strategies to navigate ethical issues.","Business Ethics","Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172.2","ISTE_EdLeaders_5a; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c","","11-0000; 13-0000; 15-0000; 25-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 15-1200; 15-2000; 25-1000; 25-2000; 25-4000; 25-9000; 37-1000; 39-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 15-1210; 15-1240; 15-1250; 15-2030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9010; 25-9030; 25-9090; 37-1010; 39-1010; 39-1020","11-1011; 11-1021; 11-2022; 11-3012; 11-3051; 11-3071; 11-9021; 11-9151; 11-9199; 13-1051; 13-1071; 13-1111; 15-1212; 15-1244; 15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-2031; 25-1021; 25-1022; 25-1041; 25-1042; 25-1043; 25-1051; 25-1052; 25-1053; 25-1054; 25-1081; 25-1082; 25-2021; 25-2022; 25-2023; 25-2031; 25-2032; 25-2051; 25-2055; 25-2056; 25-2057; 25-2058; 25-2059; 25-4022; 25-9011; 25-9031; 25-9099; 37-1011; 39-1011; 39-1022","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/df5d6e14-3df1-491c-acce-bbdd13f6948a","Create a Plan to Achieve Goals","Western Governors University","Create a plan to achieve self-motivated goals.","Self-Motivation","Self-Motivation; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self-Awareness; WGUSID: 10759","UDL_3.9","","15-0000","15-1200","15-1210; 15-1230; 15-1240; 15-1250; 15-1290","15-1211; 15-1231; 15-1232; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Self-Motivation","https://skills.emsidata.com/skills/ESED820E6065D9AA8D6F","Lightcast Open Skills Library"
"https://osmt.wgu.edu/api/skills/b599cbbf-6a58-4ce7-8774-d44f887be1be","Identify the Benefits of Self-Motivated Goals","Western Governors University","Identify the benefits of achieving self-motivated goals.","Self-Motivation","Self-Motivation; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self-Awareness; WGUSID: 10760","UDL_3.9","","15-0000","15-1200","15-1240; 15-1250; 15-1290","15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Self-Motivation","https://skills.emsidata.com/skills/ESED820E6065D9AA8D6F",""
"https://osmt.wgu.edu/api/skills/ad18fa7d-71cd-4873-b416-4583135764aa","Create Self-Motivated Goals","Western Governors University","Create self-motivated goals.","Self-Motivation","Self-Motivation; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self-Awareness; goals; self-motivated; WGUSID: 12383","","","15-0000","15-1200","15-1250","15-1251","","","Self-Motivation","https://skills.emsidata.com/skills/ESED820E6065D9AA8D6F",""
"https://osmt.wgu.edu/api/skills/6c564ce6-4f5e-43db-9240-30cabbbf5adb","Identify Self-Motivation Activities","Western Governors University","Identify activities that strengthen self-motivation.","Self-Motivation","Self-Motivation; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self-Awareness; WGUSID: 10761","","","15-0000","15-1200","15-1240; 15-1250; 15-1290","15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Self-Motivation","https://skills.emsidata.com/skills/ESED820E6065D9AA8D6F",""
"https://osmt.wgu.edu/api/skills/be7d4c47-c0e6-421c-adfb-5d5f37d76962","Prevent Burnout","Western Governors University","Demonstrate strategies that prevent burnout.","Self-Motivation","Self-Motivation; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self-Awareness; skill development; Healthy Learning Strategies","","","15-0000","15-1200","15-1250","15-1251","","","Self-Motivation","https://skills.emsidata.com/skills/ESED820E6065D9AA8D6F",""
"https://osmt.wgu.edu/api/skills/1f05d4bf-5a49-49a6-a54b-e03b0b34ce0f","Develop Action Plans","Western Governors University","Develop action plans designed to motivate and guide a person or group toward a goal.","Goal Oriented","21st_Century_Skills; Doing; SEL; Power_Skills_Framework; Goal Oriented; Goal Setting; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self Management; WGUSID: 1084; 5742; 2394; 7951","ISTE_Educators_4d; InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Pers.CL; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_Educators_1c; CASEL; ISTE_EdLeaders_3b; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; AAQEP_1a; ATD.Pers.C; NLN_CNE_3.13; ANCC_Informatics_Certification_I.A.4; AONL_Competency_5B3; NLN_CNE_3.11; CNL_Competencies_9.19","","11-0000; 13-0000; 15-0000; 17-0000; 19-0000; 21-0000; 25-0000; 29-0000","11-3000; 13-1000; 13-2000; 15-1200; 15-2000; 17-2000; 17-3000; 21-1000; 25-1000; 29-1000","11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1230; 15-1250; 15-2030; 17-2080; 17-2110; 17-2190; 17-3020; 21-1090; 25-1010; 25-1020; 25-1040; 25-1050; 25-1060; 25-1070; 25-1080; 25-1120; 29-1140","11-3031; 13-1111; 13-1161; 13-2011; 13-2041; 15-1232; 15-1251; 15-1256; 15-1257; 15-2031; 21-1094; 29-1141","","","Goal Oriented","https://skills.emsidata.com/skills/KSS30WWC1QZQY5T61CS5",""
"https://osmt.wgu.edu/api/skills/407c530e-56c5-45ca-bdd3-6452e6175d19","Plan a Schedule in Advance","Western Governors University","Plan a schedule in advance to include necessary tasks.","Time Management","Time Management; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self Management; any to-do app; WGUSID: 5468","","","15-0000; 19-0000; 33-0000","15-1200; 15-2000; 19-4000; 33-3000","15-1210; 15-1220; 15-1230; 15-1240; 15-1250; 15-1290; 15-2030; 15-2090; 19-4090; 33-3020","15-1221; 15-1231; 15-1232; 15-1251; 15-1259; 15-2031","","","Time Management","https://skills.emsidata.com/skills/KS44175745H9Q0DPBDNT",""
